file,complexity
src/main/resources/static/plugins/ckeditor/lang/eu.js,0
src/main/resources/static/plugins/ckeditor/lang/fa.js,0
src/main/resources/static/plugins/ckeditor/lang/fi.js,0
src/main/resources/static/plugins/ckeditor/lang/fo.js,0
src/main/resources/static/plugins/ckeditor/lang/fr-ca.js,0
src/main/resources/static/plugins/ckeditor/lang/fr.js,0
src/main/resources/static/plugins/ckeditor/lang/gl.js,0
src/main/resources/static/plugins/ckeditor/lang/gu.js,0
src/main/resources/static/plugins/ckeditor/lang/he.js,0
src/main/resources/static/plugins/ckeditor/lang/hi.js,0
src/main/resources/static/plugins/ckeditor/lang/hr.js,0
src/main/resources/static/plugins/ckeditor/lang/hu.js,0
src/main/resources/static/plugins/ckeditor/lang/id.js,0
src/main/resources/static/plugins/ckeditor/lang/is.js,0
src/main/resources/static/plugins/ckeditor/lang/it.js,0
src/main/resources/static/plugins/ckeditor/lang/ja.js,0
src/main/resources/static/plugins/ckeditor/lang/ka.js,0
src/main/resources/static/plugins/ckeditor/lang/km.js,0
src/main/resources/static/plugins/ckeditor/lang/ko.js,0
src/main/resources/static/plugins/ckeditor/lang/ku.js,0
src/main/resources/static/plugins/ckeditor/lang/lt.js,0
src/main/resources/static/plugins/ckeditor/lang/lv.js,0
src/main/resources/static/plugins/ckeditor/lang/mk.js,0
src/main/resources/static/plugins/ckeditor/lang/mn.js,0
src/main/resources/static/plugins/ckeditor/lang/ms.js,0
src/main/resources/static/plugins/ckeditor/lang/nb.js,0
src/main/resources/static/plugins/ckeditor/lang/nl.js,0
src/main/resources/static/plugins/ckeditor/lang/no.js,0
src/main/resources/static/plugins/ckeditor/lang/pl.js,0
src/main/resources/static/plugins/ckeditor/lang/pt-br.js,0
src/main/resources/static/plugins/ckeditor/lang/pt.js,0
src/main/resources/static/plugins/ckeditor/lang/ro.js,0
src/main/resources/static/plugins/ckeditor/lang/ru.js,0
src/main/resources/static/plugins/ckeditor/lang/si.js,0
src/main/resources/static/plugins/ckeditor/lang/sk.js,0
src/main/resources/static/plugins/ckeditor/lang/sl.js,0
src/main/resources/static/plugins/ckeditor/lang/sq.js,0
src/main/resources/static/plugins/ckeditor/lang/sr-latn.js,0
src/main/resources/static/plugins/ckeditor/lang/sr.js,0
src/main/resources/static/plugins/ckeditor/lang/sv.js,0
src/main/resources/static/plugins/ckeditor/lang/th.js,0
src/main/resources/static/plugins/ckeditor/lang/tr.js,0
src/main/resources/static/plugins/ckeditor/lang/tt.js,0
src/main/resources/static/plugins/ckeditor/lang/ug.js,0
src/main/resources/static/plugins/ckeditor/lang/uk.js,0
src/main/resources/static/plugins/ckeditor/lang/vi.js,0
src/main/resources/static/plugins/ckeditor/lang/zh-cn.js,0
src/main/resources/static/plugins/ckeditor/lang/zh.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/a11yhelp.js,14
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/_translationstatus.txt,None
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/af.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/ar.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/bg.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/ca.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/cs.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/cy.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/da.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/de-ch.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/de.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/el.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/en-gb.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/en.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/eo.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/es.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/et.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/eu.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/fa.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/fi.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/fo.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/fr-ca.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/fr.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/gl.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/gu.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/he.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/hi.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/hr.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/hu.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/id.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/it.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/ja.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/km.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/ko.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/ku.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/lt.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/lv.js,0
src/main/resources/static/plugins/ckeditor/plugins/a11yhelp/dialogs/lang/mk.js,0
