file,codechurn
coupons/3.png,0
coupons/4.png,0
coupons/45.png,0
coupons/46.png,0
coupons/47.png,0
coupons/48.png,0
coupons/5.png,0
coupons/6.png,0
coupons/cupom.png,0
users/16.png,0
users/17.png,0
src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,214
src/main/java/br/ufc/great/syspromocity/controller/PromotionController.java,352
src/main/java/br/ufc/great/syspromocity/controller/StoreController.java,543
src/main/java/br/ufc/great/syspromocity/security/WebSecurityConfig.java,90
src/main/resources/templates/dashboard/indexUser.html,76
src/main/resources/templates/fragments/mainsidebar.html,43
src/main/resources/templates/stores/formPromotionsStoreOfUser.html,89
src/main/resources/templates/stores/listPromotionsStoreOfUser.html,54
src/main/java/br/ufc/great/syspromocity/controller/UserController.java,482
src/main/java/br/ufc/great/syspromocity/model/MyStores.java,34
src/main/java/br/ufc/great/syspromocity/repository/MyStoresRepository.java,12
src/main/java/br/ufc/great/syspromocity/service/MyStoresService.java,26
src/main/resources/static/dist/js/mapa.js,71
src/main/resources/templates/accesscontrol/form.html,46
src/main/resources/templates/accesscontrol/formEdit.html,45
src/main/resources/templates/dashboard/index.html,118
src/main/resources/templates/dashboard/indexStoreOwner.html,78
src/main/resources/templates/stores/formMyStore.html,96
src/main/resources/templates/stores/formStoreOfUser.html,96
src/main/resources/templates/stores/listStoresOfUser.html,61
docs/Class Diagram SysPromocity.png,0
docs/Diagrama de Classes SysPromocity.asta,0
src/main/resources/templates/login.html,93
users/14.png,0
users/8.png,0
users/9.png,0
src/main/java/br/ufc/great/syspromocity/model/Users.java,195
src/main/resources/templates/users/formpwdProfile.html,111
src/main/resources/templates/register.html,124
pom.xml,85
src/main/java/br/ufc/great/syspromocity/controller/FileUploadController.java,142
src/main/java/br/ufc/great/syspromocity/util/Constantes.java,10
src/main/resources/templates/fragments/header.html,63
src/main/resources/templates/uploads/formpwd.html,98
src/main/resources/templates/uploads/uploadstatusview.html,16
src/main/resources/templates/uploads/uploadview.html,13
src/main/resources/templates/uploads/viewfileuploaded.html,10
src/main/resources/templates/users/form.html,63
src/main/resources/templates/users/formImage.html,46
src/main/resources/templates/users/formpwd.html,98
src/main/resources/templates/users/list.html,52
src/main/resources/templates/users/listAllUsers.html,47
src/main/resources/templates/users/listFriends.html,49
users/1.png,0
users/2.png,0
users/3.png,0
users/anonymous2.png,0
src/main/java/br/ufc/great/syspromocity/controller/AccessControlController.java,123
src/main/java/br/ufc/great/syspromocity/controller/CouponController.java,167
src/main/resources/templates/accesscontrol/list.html,47
